2023-07-25 21:07:602 INFO  MenProductPage :32 - Click on pant size[[ChromeDriver: chrome on windows (8be6b223a670cda79eea737c95657e96)] -> xpath: (//div[@class='swatch-option text'])[1]]
2023-07-25 21:07:820 INFO  MenProductPage :43 - Click on Black colour[[ChromeDriver: chrome on windows (8be6b223a670cda79eea737c95657e96)] -> xpath: (//div[@class='swatch-option color'])[1]]
2023-07-25 21:07:40 INFO  MenProductPage :54 - Mouse hover and click Add Cart button
2023-07-25 21:07:199 INFO  HomePage :62 - Mouse hover on Gear menu
2023-07-25 21:07:684 INFO  HomePage :68 - Mouse hover and click on product Bags
2023-07-25 21:07:229 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (c5dbed4c740b8e15ef06d047da3420a8)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 21:07:506 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (c5dbed4c740b8e15ef06d047da3420a8)] -> xpath: //span[@class='base']]
2023-07-25 21:07:86 INFO  GearPage :72 - Change Quantity3
2023-07-25 21:07:274 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (c5dbed4c740b8e15ef06d047da3420a8)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 21:07:691 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (c5dbed4c740b8e15ef06d047da3420a8)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 21:07:551 INFO  GearPage :109 - Change Qantity to5
2023-07-25 21:07:731 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (c5dbed4c740b8e15ef06d047da3420a8)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
2023-07-25 21:07:903 INFO  MenProductPage :24 - Mouse hover on Cronus product
2023-07-25 21:07:156 INFO  MenProductPage :32 - Click on pant size[[ChromeDriver: chrome on windows (e55965501bc7cb7c7469ad884e867019)] -> xpath: (//div[@class='swatch-option text'])[1]]
2023-07-25 21:07:385 INFO  MenProductPage :43 - Click on Black colour[[ChromeDriver: chrome on windows (e55965501bc7cb7c7469ad884e867019)] -> xpath: (//div[@class='swatch-option color'])[1]]
2023-07-25 21:07:618 INFO  MenProductPage :54 - Mouse hover and click Add Cart button
2023-07-25 21:07:997 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:927 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:296 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:488 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:326 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:187 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:376 INFO  HomePage :85 - Mouse hover on Tops
2023-07-25 21:07:28 INFO  HomePage :94 - Mouse hover and click on product Jackets
2023-07-25 21:07:823 INFO  WomenProduct :48 - Select sort by price filter Price
2023-07-25 21:07:614 INFO  HomePage :77 - Mouse hover on Women menu
2023-07-25 21:07:793 INFO  HomePage :85 - Mouse hover on Tops
